threshold,p,p',n/p ratio,ratio',upper limit for train/val accuracy,accuracy'
0,49547,0,71.31487274708863,71.31487274708863,0.0,0.0
1,11850,37697,298.1804219409283,226.86554919383966,0.010668929241152668,0.010668929241152668
2,7240,4610,488.0439226519337,189.86350071100543,0.013278285907379724,0.0026093566662270563
3,5350,1890,660.4557009345795,172.41177828264574,0.014882955353964044,0.0016046694465843194
4,4230,1120,835.3281323877069,174.87243145312743,0.016150842324104738,0.0012678869701406945
5,3527,703,1001.8253473206692,166.49721493296227,0.017145624176793252,0.0009947818526885137
6,2977,550,1186.9123278468257,185.0869805261566,0.01807955877533439,0.0009339345985411376
7,2538,439,1392.2135539795115,205.30122613268577,0.018949249993915274,0.0008696912185808849
8,2215,323,1595.2316027088036,203.0180487292921,0.019680549085621425,0.0007312990917061508
9,1959,256,1803.694742215416,208.46313950661238,0.020332605241693783,0.000652056156072358
10,1751,208,2017.9543118218162,214.2595696064002,0.020921267049259108,0.0005886618075653244
11,1590,161,2222.2880503144656,204.33373849264945,0.02142247861714285,0.0005012115678837414
12,1438,152,2457.1891515994434,234.9011012849778,0.021938689740700134,0.000516211123557285
13,1317,121,2682.944570994685,225.75541939524146,0.02238386523267141,0.00044517549197127526
14,1227,90,2879.7375713121432,196.79300031745834,0.02274045844302348,0.00035659321035207137
15,1152,75,3067.2204861111113,187.48291479896807,0.023058845237980685,0.0003183867949572046
16,1099,53,3215.139217470428,147.91873135931655,0.02329883812875732,0.00023999289077663438
17,1036,63,3410.65444015444,195.51522268401231,0.02360194235755658,0.0003031042287992593
18,989,47,3572.738119312437,162.0836791579968,0.023841369227364396,0.00023942686980781697
19,937,52,3771.0117395944503,198.27362028201333,0.024120983585957927,0.0002796143585935308
20,898,39,3934.7861915367484,163.77445194229813,0.02434173176379492,0.0002207481778369949
21,854,44,4137.515222482436,202.72903094568755,0.02460323345138644,0.00026150168759151923
22,822,32,4298.586374695864,161.07115221342792,0.02480247283240855,0.00019923938102211006
23,783,39,4512.69220945083,214.10583475496605,0.025056333236921094,0.0002538604045125431
24,764,19,4624.918848167539,112.2266387167092,0.025185386017810417,0.00012905278088932298
25,735,29,4807.398639455782,182.47979128824318,0.02539056861900506,0.00020518260119464435
26,705,30,5011.968794326242,204.5701548704592,0.025611316796842056,0.0002207481778369949
27,682,23,5180.994134897361,169.02534057111916,0.025787066307658434,0.00017574951081637813
28,662,20,5337.519637462236,156.52550256487484,0.02594555217892602,0.00015848587126758573
29,649,13,5444.434514637905,106.91487717566906,0.026052247131547236,0.00010669495262121548
30,638,11,5538.30407523511,93.86956059720524,0.02614564059140135,9.339345985411376e-05
31,631,7,5599.743264659271,61.43918942416076,0.02620705386651754,6.141327511618999e-05
32,612,19,5773.591503267974,173.84823860870347,0.026379124241036632,0.00017207037451909268
33,593,19,5958.580101180439,184.98859791246468,0.02655657181475945,0.0001774475737228165
34,589,4,5999.045840407471,40.46573922703192,0.02659506124063872,3.848942587927201e-05
35,581,8,6081.648881239243,82.60304083177198,0.026674304176272513,7.924293563379287e-05
36,569,12,6209.908611599297,128.25973036005416,0.026796564705536083,0.0001222605292635695
37,559,10,6320.998211091234,111.0895994919374,0.02690127858476645,0.0001047138792303684
38,553,6,6389.5804701627485,68.58225907151427,0.026965804975211113,6.452639044466149e-05
39,541,12,6531.308687615527,141.72821745277815,0.02709825388191331,0.00013244890670219625
40,533,8,6629.339587242026,98.03089962649938,0.02718881723692336,9.056335501005097e-05
41,526,7,6717.5627376425855,88.22315040055946,0.027270041245947996,8.122400902463647e-05
42,516,10,6847.748062015504,130.18532437291833,0.02738890564939869,0.00011886440345069277
43,508,8,6955.586614173229,107.83855215772473,0.02748626125603449,9.735560663580098e-05
44,501,7,7052.770459081837,97.18384490860808,0.027573428485231664,8.716722919717423e-05
45,497,4,7109.533199195171,56.762740113334075,0.027624370372424815,5.094188719315107e-05
46,490,7,7211.097959183673,101.56475998850237,0.02771549974840368,9.112937597886492e-05
47,481,9,7346.024948024948,134.92698884127458,0.02783521318330759,0.00011971343490390848
48,475,6,7438.816842105263,92.79189408031561,0.027916720202816634,8.150701950904518e-05
49,469,6,7533.982942430704,95.16610032544031,0.027999925285232118,8.320508241548355e-05
